old_name new_name 
bldg_3981169_2289 : S3-office-core-wall-5		bldg_3981169_2289 :  S3-office-core-wall-4 
bldg_3981169_2289 : S3-office-core-wall-7		bldg_3981169_2289 :  S3-office-core-wall-6 
bldg_3981169_2289 : S3-office-core-wall-8		bldg_3981169_2289 :  S3-office-core-wall-6 
bldg_3981169_2289 : S4-office-core-wall-1		bldg_3981169_2289 :  S3-office-core-wall-0 
bldg_3981169_2289 : S4-office-core-wall-10		bldg_3981169_2289 :  S1-office-core-wall-0 
bldg_3981169_2289 : S4-office-core-wall-11		bldg_3981169_2289 :  S1-office-core-wall-0 
bldg_3981169_2289 : S4-office-core-wall-2		bldg_3981169_2289 :  S4-office-core-wall-0 
bldg_3981169_2289 : S4-office-core-wall-3		bldg_3981169_2289 :  S3-office-core-wall-0 
bldg_3981169_2289 : S4-office-core-wall-5		bldg_3981169_2289 :  S3-office-core-wall-4 
bldg_3981169_2289 : S4-office-core-wall-7		bldg_3981169_2289 :  S3-office-core-wall-6 
bldg_3981169_2289 : S4-office-core-wall-8		bldg_3981169_2289 :  S3-office-core-wall-6 
bldg_3981221_15715 : S1-retail-core-roof		bldg_3981228_17029 :  S1-office-core-wall-1 
bldg_3981221_15715 : S2-retail-core-wall-0		bldg_3981221_15715 :  S2-retail-core-roof 
bldg_3981190_5549 : S1-office-core-wall-0		bldg_3981158_873 :  S2-office-core-wall-0 
bldg_3981190_5549 : S2-office-core-wall-0		bldg_3981190_5549 :  S1-office-core-wall-2 
bldg_3981190_5549 : S3-office-core-wall-0		bldg_3981190_5549 :  S3-office-core-roof 
bldg_3981197_5614 : S1-office-core-wall-0		bldg_3981221_15715 :  S1-retail-core-wall-3 
bldg_3981197_5614 : S1-office-core-wall-1		bldg_3981221_15715 :  S1-retail-core-wall-4 
bldg_3981197_5614 : S1-office-core-wall-10		bldg_3981221_15715 :  S1-retail-core-wall-3 
bldg_3981197_5614 : S1-office-core-wall-2		bldg_3981221_15715 :  S1-retail-core-wall-4 
bldg_3981197_5614 : S1-office-core-wall-3		bldg_3981221_15715 :  S1-retail-core-wall-4 
bldg_3981197_5614 : S1-office-core-wall-7		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981197_5614 : S1-office-core-wall-8		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981197_5614 : S1-office-core-wall-9		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981197_5614 : S2-office-core-wall-0		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981197_5614 : S2-office-core-wall-1		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981197_5614 : S2-office-core-wall-10		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981197_5614 : S2-office-core-wall-2		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981197_5614 : S2-office-core-wall-3		bldg_3981197_5614 :  S1-office-core-wall-4 
bldg_3981197_5614 : S2-office-core-wall-7		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981197_5614 : S2-office-core-wall-8		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981197_5614 : S2-office-core-wall-9		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981197_5614 : S3-office-core-wall-0		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981197_5614 : S3-office-core-wall-1		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981197_5614 : S3-office-core-wall-10		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981197_5614 : S3-office-core-wall-2		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981197_5614 : S3-office-core-wall-3		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981197_5614 : S3-office-core-wall-7		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981197_5614 : S3-office-core-wall-8		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981197_5614 : S3-office-core-wall-9		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981238_27588 : S1-retail-core-wall-2		bldg_3981238_27588 :  S1-retail-core-wall-0 
bldg_3981238_27588 : S1-retail-core-wall-3		bldg_3981238_27588 :  S1-retail-core-wall-0 
bldg_3981238_27588 : S2-retail-core-wall-2		bldg_3981238_27588 :  S1-retail-core-wall-0 
bldg_3981238_27588 : S2-retail-core-wall-3		bldg_3981238_27588 :  S1-retail-core-wall-0 
bldg_3981167_982 : S10-office-core-wall-1		bldg_3981167_982 :  S10-office-core-wall-0 
bldg_3981167_982 : S10-office-core-wall-2		bldg_3981167_982 :  S10-office-core-wall-0 
bldg_3981167_982 : S10-office-core-wall-8		bldg_3981167_982 :  S10-office-core-wall-6 
bldg_3981167_982 : S10-office-core-wall-9		bldg_3981167_982 :  S10-office-core-wall-7 
bldg_3981167_982 : S11-office-core-wall-1		bldg_3981167_982 :  S10-office-core-wall-0 
bldg_3981167_982 : S11-office-core-wall-2		bldg_3981167_982 :  S10-office-core-wall-0 
bldg_3981167_982 : S11-office-core-wall-8		bldg_3981167_982 :  S10-office-core-wall-6 
bldg_3981167_982 : S11-office-core-wall-9		bldg_3981167_982 :  S10-office-core-wall-6 
bldg_3981167_982 : S12-office-core-wall-1		bldg_3981167_982 :  S10-office-core-wall-0 
bldg_3981167_982 : S12-office-core-wall-2		bldg_3981167_982 :  S10-office-core-wall-0 
bldg_3981167_982 : S12-office-core-wall-8		bldg_3981167_982 :  S11-office-core-wall-4 
bldg_3981167_982 : S12-office-core-wall-9		bldg_3981167_982 :  S11-office-core-wall-7 
bldg_3981167_982 : S13-office-core-wall-1		bldg_3981167_982 :  S10-office-core-wall-0 
bldg_3981167_982 : S13-office-core-wall-2		bldg_3981167_982 :  S10-office-core-wall-0 
bldg_3981167_982 : S13-office-core-wall-8		bldg_3981167_982 :  S12-office-core-wall-6 
bldg_3981167_982 : S13-office-core-wall-9		bldg_3981167_982 :  S12-office-core-wall-7 
bldg_3981167_982 : S14-office-core-wall-1		bldg_3981167_982 :  S10-office-core-wall-0 
bldg_3981167_982 : S14-office-core-wall-2		bldg_3981167_982 :  S10-office-core-wall-0 
bldg_3981167_982 : S14-office-core-wall-8		bldg_3981167_982 :  S13-office-core-wall-6 
bldg_3981167_982 : S14-office-core-wall-9		bldg_3981167_982 :  S13-office-core-wall-7 
bldg_3981167_982 : S15-office-core-wall-1		bldg_3981167_982 :  S10-office-core-wall-0 
bldg_3981167_982 : S15-office-core-wall-2		bldg_3981167_982 :  S10-office-core-wall-0 
bldg_3981167_982 : S15-office-core-wall-8		bldg_3981167_982 :  S14-office-core-wall-6 
bldg_3981167_982 : S15-office-core-wall-9		bldg_3981167_982 :  S14-office-core-wall-7 
bldg_3981167_982 : S3-office-core-wall-1		bldg_3981167_982 :  S2-office-core-wall-1 
bldg_3981167_982 : S3-office-core-wall-2		bldg_3981167_982 :  S2-office-core-wall-1 
bldg_3981167_982 : S3-office-core-wall-8		bldg_3981167_982 :  S2-office-core-wall-6 
bldg_3981167_982 : S3-office-core-wall-9		bldg_3981167_982 :  S2-office-core-wall-7 
bldg_3981167_982 : S4-office-core-wall-1		bldg_3981167_982 :  S2-office-core-wall-1 
bldg_3981167_982 : S4-office-core-wall-2		bldg_3981167_982 :  S2-office-core-wall-1 
bldg_3981167_982 : S4-office-core-wall-8		bldg_3981167_982 :  S3-office-core-wall-4 
bldg_3981167_982 : S4-office-core-wall-9		bldg_3981167_982 :  S3-office-core-wall-7 
bldg_3981167_982 : S5-office-core-wall-1		bldg_3981167_982 :  S2-office-core-wall-1 
bldg_3981167_982 : S5-office-core-wall-2		bldg_3981167_982 :  S2-office-core-wall-1 
bldg_3981167_982 : S5-office-core-wall-8		bldg_3981167_982 :  S4-office-core-wall-6 
bldg_3981167_982 : S5-office-core-wall-9		bldg_3981167_982 :  S4-office-core-wall-7 
bldg_3981167_982 : S6-office-core-wall-1		bldg_3981167_982 :  S2-office-core-wall-1 
bldg_3981167_982 : S6-office-core-wall-2		bldg_3981167_982 :  S2-office-core-wall-1 
bldg_3981167_982 : S6-office-core-wall-8		bldg_3981167_982 :  S5-office-core-wall-6 
bldg_3981167_982 : S6-office-core-wall-9		bldg_3981167_982 :  S5-office-core-wall-7 
bldg_3981167_982 : S7-office-core-wall-1		bldg_3981167_982 :  S2-office-core-wall-1 
bldg_3981167_982 : S7-office-core-wall-2		bldg_3981167_982 :  S2-office-core-wall-1 
bldg_3981167_982 : S7-office-core-wall-8		bldg_3981167_982 :  S6-office-core-wall-6 
bldg_3981167_982 : S7-office-core-wall-9		bldg_3981167_982 :  S6-office-core-wall-7 
bldg_3981167_982 : S8-office-core-wall-1		bldg_3981167_982 :  S2-office-core-wall-1 
bldg_3981167_982 : S8-office-core-wall-2		bldg_3981167_982 :  S2-office-core-wall-1 
bldg_3981167_982 : S8-office-core-wall-8		bldg_3981167_982 :  S7-office-core-wall-6 
bldg_3981167_982 : S8-office-core-wall-9		bldg_3981167_982 :  S7-office-core-wall-7 
bldg_3981167_982 : S9-office-core-wall-1		bldg_3981167_982 :  S10-office-core-wall-0 
bldg_3981167_982 : S9-office-core-wall-2		bldg_3981167_982 :  S10-office-core-wall-0 
bldg_3981167_982 : S9-office-core-wall-8		bldg_3981167_982 :  S10-office-core-wall-6 
bldg_3981167_982 : S9-office-core-wall-9		bldg_3981167_982 :  S10-office-core-wall-7 
bldg_3981232_20413 : S1-retail-core-wall-1		bldg_3981232_20413 :  S1-retail-core-wall-0 
bldg_3981226_19444 : S1-office-core-wall-2		bldg_3981226_19444 :  S1-office-core-wall-1 
bldg_3981226_19444 : S2-office-core-wall-2		bldg_3981226_19444 :  S1-office-core-wall-1 
bldg_3981226_19444 : S3-office-core-wall-2		bldg_3981226_19444 :  S1-office-core-wall-1 
bldg_3981226_19444 : S4-office-core-wall-2		bldg_3981226_19444 :  S4-office-core-roof 
bldg_3981157_1172 : S10-office-core-wall-6		bldg_3981157_1172 :  S10-office-core-wall-5 
bldg_3981157_1172 : S11-office-core-wall-6		bldg_3981157_1172 :  S11-office-core-wall-5 
bldg_3981157_1172 : S12-office-core-wall-6		bldg_3981157_1172 :  S11-office-core-wall-5 
bldg_3981157_1172 : S13-office-core-wall-6		bldg_3981157_1172 :  S12-office-core-wall-5 
bldg_3981157_1172 : S14-office-core-wall-6		bldg_3981157_1172 :  S13-office-core-wall-5 
bldg_3981157_1172 : S15-office-core-wall-6		bldg_3981157_1172 :  S14-office-core-wall-5 
bldg_3981157_1172 : S16-office-core-wall-6		bldg_3981157_1172 :  S15-office-core-wall-5 
bldg_3981157_1172 : S17-office-core-wall-6		bldg_3981157_1172 :  S16-office-core-wall-5 
bldg_3981157_1172 : S18-office-core-wall-6		bldg_3981157_1172 :  S18-office-core-wall-5 
bldg_3981157_1172 : S19-office-core-wall-6		bldg_3981157_1172 :  S18-office-core-wall-5 
bldg_3981157_1172 : S2-office-core-wall-6		bldg_3981157_1172 :  S2-office-core-wall-5 
bldg_3981157_1172 : S20-office-core-wall-6		bldg_3981157_1172 :  S19-office-core-wall-5 
bldg_3981157_1172 : S3-office-core-wall-6		bldg_3981157_1172 :  S2-office-core-wall-5 
bldg_3981157_1172 : S4-office-core-wall-6		bldg_3981157_1172 :  S3-office-core-wall-5 
