id,user_defined_building_id,center_latitude,center_longitude,center_x,center_y,x_shift,y_shift
7639075,1172,37.794577,-122.401907,1832509.2,645375.63,0,0
7639076,873,37.794317,-122.400745,1832610.91,645344.65,101.71,-30.98
7639077,1717,37.793388,-122.400818,1832602.5,645241.77,-8.41,-102.88
7639078,1613,37.795964,-122.402067,1832498.19,645529.78,-104.31,288.01
7639079,727,37.793415,-122.402395,1832463.26,645247.29,-34.93,-282.49
7639080,2056,37.793453,-122.400334,1832645.21,645248.03,181.95,0.74
7639081,1766,37.795153,-122.401192,1832573.5,645438.16,-71.71,190.13
7639082,1688,37.793867,-122.400442,1832636.66,645294.14,63.16,-144.02
7639083,982,37.793704,-122.401721,1832523.64,645278.35,-113.02,-15.79
7639084,1588,37.797514,-122.404056,1832326.61,645705.34,-197.03,426.99
7639085,1754,37.797148,-122.401196,1832577.56,645659.47,250.95,-45.87
7639086,2689,37.793795,-122.400992,1832588.05,645287.18,10.49,-372.29
7639087,1825,37.794718,-122.400662,1832619.13,645389.02,31.08,101.84
7639088,2289,37.798168,-122.401386,1832563.14,645773.05,-55.99,384.03
7639089,2130,37.79691,-122.404903,1832250.61,645639.46,-312.53,-133.59
7639090,2986,37.793565,-122.402604,1832445.56,645264.35,194.95,-375.11
7639091,2950,37.795835,-122.40251,1832459.04,645516.23,13.48,251.88
7639092,3237,37.797791,-122.401851,1832521.41,645732.09,62.37,215.86
7639093,2698,37.793278,-122.401782,1832517.31,645231.18,-4.1,-500.91
7639094,3096,37.797128,-122.402317,1832478.89,645659.41,-38.42,428.23
7639095,3608,37.797311,-122.402356,1832475.84,645679.76,-3.05,20.35
7639096,3076,37.79315,-122.402561,1832448.35,645218.37,-27.49,-461.39
7639097,3644,37.794658,-122.401103,1832580.14,645383.16,131.79,164.79
7639098,3376,37.79751,-122.40336,1832387.92,645703.66,-192.22,320.5
7639099,3307,37.796899,-122.401059,1832589.14,645631.68,201.22,-71.98
7639100,3671,37.797172,-122.402692,1832445.91,645664.9,-143.23,33.22
7639101,3976,37.795472,-122.401874,1832514.02,645474.84,68.11,-190.06
7639102,4646,37.796115,-122.403091,1832408.44,645548.4,-105.58,73.56
7639103,4214,37.797444,-122.404659,1832273.41,645698.61,-135.03,150.21
7639104,4317,37.796226,-122.403747,1832350.89,645561.79,77.48,-136.82
7639105,4196,37.794093,-122.402377,1832466.74,645322.68,115.85,-239.11
7639106,3640,37.797573,-122.405778,1832175.1,645714.73,-291.64,392.05
7639107,5005,37.797645,-122.403055,1832415.02,645718.07,239.92,3.34
7639108,4857,37.796018,-122.402558,1832455.15,645536.62,40.13,-181.45
7639109,4045,37.796311,-122.402402,1832469.51,645568.79,14.36,32.17
7639110,5549,37.795573,-122.400712,1832616.58,645483.98,147.07,-84.81
