id,user_defined_building_id,center_latitude,center_longitude,center_x,center_y,x_shift,y_shift
7639111,5464,37.794391,-122.402794,1832430.74,645356.52,-185.84,-127.46
7639112,5762,37.796921,-122.402499,1832462.38,645636.75,31.64,280.23
7639113,5568,37.796569,-122.403821,1832345.2,645600.27,-117.18,-36.48
7639114,8620,37.795556,-122.401119,1832580.83,645482.79,235.63,-117.48
7639115,7290,37.797436,-122.405144,1832230.83,645698.63,-350,215.84
7639116,5614,37.797416,-122.404851,1832256.41,645695.89,25.58,-2.74
7639117,9741,37.796737,-122.402295,1832479.9,645615.89,223.49,-80
7639118,9333,37.794085,-122.402581,1832448.72,645322.13,-31.18,-293.76
7639119,9086,37.798026,-122.402471,1832467.33,645759.21,18.61,437.08
7639120,9853,37.798228,-122.40246,1832468.81,645781.69,1.48,22.48
7639121,9849,37.795576,-122.400964,1832594.5,645484.77,125.69,-296.92
7639122,11017,37.796325,-122.403229,1832396.78,645571.85,-197.72,87.08
7639123,5711,37.795988,-122.40369,1832355.34,645535.06,-41.44,-36.79
7639124,11308,37.7941,-122.401667,1832529.36,645322.22,174.02,-212.84
7639125,11539,37.797368,-122.40108,1832588.3,645683.77,58.94,361.55
7639126,6206,37.797158,-122.403368,1832386.39,645664.5,-201.91,-19.27
7639127,12020,37.796604,-122.403311,1832390.2,645602.98,3.81,-61.52
7639128,10659,37.796794,-122.40328,1832393.29,645623.99,3.09,21.01
7639129,12192,37.796659,-122.403789,1832348.18,645609.97,-45.11,-14.02
7639130,12380,37.797179,-122.401688,1832534.33,645663.87,186.15,53.9
7639131,10801,37.797155,-122.402848,1832432.15,645663.29,-102.18,-0.58
7639132,12328,37.796232,-122.403115,1832406.57,645561.41,-25.58,-101.88
7639133,12413,37.794064,-122.401618,1832533.48,645318.11,126.91,-243.3
7639134,12621,37.79455,-122.402922,1832419.87,645374.4,-113.61,56.29
7639135,15667,37.796699,-122.40255,1832457.43,645612.12,37.56,237.72
7639136,13609,37.796961,-122.401562,1832544.91,645639.54,87.48,27.42
7639137,13382,37.797882,-122.405228,1832224.29,645748.18,-320.62,108.64
7639138,14935,37.795707,-122.403127,1832404.38,645503.23,180.09,-244.95
7639139,15678,37.796662,-122.402864,1832429.64,645608.59,25.26,105.36
7639140,15068,37.7969,-122.401537,1832547.07,645632.68,117.43,24.09
7639141,15693,37.798126,-122.402438,1832470.48,645770.3,-76.59,137.62
7639142,15801,37.796299,-122.402018,1832503.33,645566.83,32.85,-203.47
7639143,15715,37.79731,-122.405045,1832239.11,645684.47,-264.22,117.64
7639144,16793,37.79668,-122.402706,1832443.6,645610.39,204.49,-74.08
7639145,17115,37.79512,-122.400869,1832601.84,645433.92,158.24,-176.47
7639146,17026,37.796889,-122.402752,1832440.03,645633.65,-161.81,199.73
7639147,19444,37.798027,-122.401899,1832517.7,645758.41,77.67,124.76
7639148,17029,37.797875,-122.40357,1832370.26,645744.53,-147.44,-13.88
7639149,18204,37.797687,-122.402311,1832480.71,645721.37,110.45,-23.16
7639150,18401,37.797403,-122.404418,1832294.54,645693.59,-186.17,-27.78
7639151,19680,37.79458,-122.402661,1832442.87,645377.25,148.33,-316.34
7639152,20413,37.796205,-122.404049,1832324.24,645559.88,-118.63,182.63
7639153,17465,37.797463,-122.40452,1832285.69,645700.49,-38.55,140.61
7639154,20290,37.797154,-122.403842,1832344.64,645664.94,58.95,-35.55
7639155,26269,37.795978,-122.403165,1832401.61,645533.32,56.97,-131.62
7639156,25221,37.795894,-122.40315,1832402.79,645523.94,1.18,-9.38
7639157,27588,37.794163,-122.402807,1832428.99,645331.23,26.2,-192.71
7639158,28728,37.796874,-122.403302,1832391.55,645632.94,-37.44,301.71
7639159,18103,37.797761,-122.40354,1832372.64,645731.82,-18.91,98.88
7639160,29644,37.798128,-122.40312,1832410.46,645771.79,37.82,39.97
7639161,30681,37.797405,-122.404325,1832302.74,645693.69,-107.72,-78.1
7639162,3061,37.795074,-122.401801,1832519.64,645430.51,216.9,-263.18
7639163,32501,37.794607,-122.40243,1832463.26,645379.81,-56.38,-50.7
7639164,35646,37.794446,-122.402397,1832465.75,645361.87,2.49,-17.94
7639165,27986,37.797595,-122.402291,1832482.19,645711.11,16.44,349.24
7639166,30885,37.797189,-122.40317,1832403.85,645667.63,-78.34,-43.48
7639167,38644,37.796767,-122.402055,1832501.1,645618.79,97.25,-48.84
7639168,87997,37.797244,-122.405153,1832229.38,645677.31,-271.72,58.52
7639169,72431,37.793966,-122.402606,1832446.3,645309.03,216.92,-368.28
7639170,112751,37.796757,-122.402141,1832493.54,645617.87,47.24,308.84
7639171,123118,37.797713,-122.404936,1832249.57,645729,-243.97,111.13
7639172,36483,37.797056,-122.403856,1832343.22,645654.12,93.65,-74.88
7639173,132514,37.79802,-122.403128,1832409.49,645759.79,66.27,105.67
7639174,154404,37.797695,-122.405076,1832237.3,645727.22,-172.19,-32.57
7639175,127206,37.797703,-122.405006,1832243.39,645727.94,6.09,0.72
7639176,148093,37.797711,-122.404861,1832256.18,645728.59,12.79,0.65
